Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Lars Løkke Rasmussen,larsloekke,100044390410889,POLITICIAN,DK,"MF, tidligere statsminister, stifter af LøkkeFonden, initiativtager til Det Politiske Mødested",2009-03-17 11:35:11,213250,214216,2022-11-01 12:09:12 CET,2022-11-01,12:09:12,Photo,"1,281",1023,188,22,28,1,7,0,7,5,,-,0,0,0,N/A,https://www.facebook.com/100044390410889/posts/670663004423374,"I dag har vi hver i sær fuldstændig den samme indflydelse på valget af det folketing, der de næste fire år sætter nogle afgørende rammer for vores hverdagsliv, arbejdsliv, kulturliv, fritidsliv og erhvervsliv. Sólrun og jeg har nu gjort vores borgerpligt. Det samme håber jeg, at du vil gøre, for demokrati er ingen naturlov. Kun ved at engagere os og tage medansvar, holder vi det i live. Og det er – helt uagtet hvad og hvem du stemmer på – vigtigt i en verden, præget af konflikter, klimakrise og krig i Europa. Danmark står midt i store udfordringer. Putins angrebskrig, klimakrise, et sundhedsvæsen i frit fald, inflation, truede recession og demografiske udfordringer. Det kalder på modige beslutninger fra ansvarlige partier, der tør forandre i nutiden for at sikre fremtiden. Det hele skal nok holde min tid ud, men ambitionen skal være større end det. Under valgkampen er der født omkring 4.700 børn. Skal de vokse op i et trygt og rigt Danmark, kan vi ikke bare forlænge nutiden med brædder ind i fremtiden. I en verden i fremgang, er stilstand lig tilbagegang. Derfor har Moderaterne i valgkampen talt op til danskerne – også om de svære ting. Først i aften ved vi, om danskerne kvitterer på en måde, hvor vi kan samles om en ansvarlig og bred regering henover midten, så traditionel bloktænkning ikke blokere for nødvendig fornyelse. Men allerede nu vil jeg gerne sige tak til alle, jeg har mødt og talt med i valgkampen. Det har været lærerigt, løfterigt og en fornøjelse. Og har du ikke allerede stemt, så se at få gjort det – for demokratiets skyld. Og gerne på Moderaterne – for Danmarks skyld. Fortsat god valgdag.",https://www.facebook.com/photo.php?fbid=670662984423376&set=a.349440299878981&type=3,,,,,,,,-1.75
Alex Vanopslagh,AlexLiberalAlliance,100044413450282,POLITICIAN,DK,Formand for Liberal Alliance ,2017-06-06 19:57:54,102494,118753,2022-11-01 11:46:23 CET,2022-11-01,11:46:23,Photo,"8,123",7337,271,23,472,0,9,1,1,9,,-,0,0,0,N/A,https://www.facebook.com/100044413450282/posts/692649138892195,"I dag gør vi drømmen til virkelighed. Krydset blev sat, og det blev selvfølgelig ved Liberal Alliance. Husk at gøre det samme, hvis vores liberale drømme, den fantastiske stemning og de gode meningsmålinger fra valgkampen skal omsættes til et mere liberalt Folketing!",https://www.facebook.com/photo.php?fbid=692649075558868&set=a.389425369214575&type=3,,,,,,,,1.61
Sikandar Siddique,sikandar.siddique.politiker,100063606495233,POLITICIAN,DK," Former Member of Parliament (DK)
Political leader of Independent Greens
(Frie Grønne)",2021-01-08 10:52:15,17536,19376,2022-11-01 11:15:08 CET,2022-11-01,11:15:08,Native Video,659,372,143,24,49,0,57,0,12,2,owned,Yes,7416,8839,0,00:00:50,https://www.facebook.com/100063606495233/posts/544286131034932,"Så er der stemt! Husk at bruge jeres stemme, og husk kun at sætte et kryds! God valgdag. 🙏🏼💚",https://www.facebook.com/sikandar.siddique.politiker/videos/509563767728806/,,,,,,,,-1.17
Morten Messerschmidt,MortenMesserschmidt,100044379401397,POLITICIAN,DK,"Velkommen til den officielle Facebook-side for Morten Messerschmidt. 

",2010-11-11 15:16:21,75361,78669,2022-11-01 10:59:52 CET,2022-11-01,10:59:52,Live Video Complete,"2,039",818,879,67,250,1,6,0,4,14,owned,Yes,10009,10555,0,00:42:48,https://www.facebook.com/100044379401397/posts/675661137459286,"Stadig i tvivl om, hvor krydset skal slås? Så stil dit spørgsmål her – jeg sidder klar 😊🇩🇰",https://www.facebook.com/MortenMesserschmidt/videos/675661137459286/,,,,,,,,1.36
Søren Pape Poulsen,SorenPapePoulsen,100044117301725,POLITICIAN,DK,Formand for Det Konservative Folkeparti og tidligere justitsminister. ,2014-08-12 17:51:53,89364,93595,2022-11-01 10:48:28 CET,2022-11-01,10:48:28,Photo,"7,725",5505,848,10,843,1,4,0,0,514,,-,0,0,0,N/A,https://www.facebook.com/100044117301725/posts/675581490589088,"I dag fylder min kære far 90 år. Han og min mor har givet mig et liv fyldt med kærlighed og omsorg. De har givet mig alt, hvad jeg har drømt om. Jeg mener det virkelig, når jeg siger, at jeg har fået den bedst tænkelige opvækst. Både min far og mor er opvokset på landet. I en tid, hvor man skulle ud at tjene efter konfirmationen, og hvor hårdt arbejde var en selvfølge. Begge har knoklet hele deres liv. Sat ydelse før nydelse. Den mentalitet tror jeg prægede alle folk på landet dengang. Det er også nogle af de værdier, der har præget min opvækst allermest. Og nok også noget af det, jeg har taget med mig i mit politiske liv. Men i dag fejrer vi min elskede far. Må du få den bedste dag. Tillykke, far ❤",https://www.facebook.com/photo.php?fbid=675581310589106&set=a.268372681309973&type=3,,,,,,,,2.25
Inger Støjberg,IngerStojberg,100044534615134,POLITICIAN,DK,"Student fra Morsø Gymnasium
Uddannet fra InformationsAkademiet
MBA (Master of Business Administration), Aalborg Universitet, 2013
Redaktør på Viborg Bladet (1999-2001)
Amtsrådsmedlem (1994-2001)
Medlem af Folketinget (2001-
Beskæftigelsesminister(2009-2011)",2011-05-10 07:43:02,200802,217976,2022-11-01 10:12:50 CET,2022-11-01,10:12:50,Photo,"16,687",14020,1019,124,1418,6,22,7,8,63,,-,0,0,0,N/A,https://www.facebook.com/100044534615134/posts/680619623432519,"Så har jeg stemt hjemme i Hadsund. Nu sætter jeg kurs mod København og samler vores gode kandidater op på vejen. Uanset hvad du stemmer, så håber jeg, at du vil bruge din stemme. Rigtig god valgdag ❤️🇩🇰",https://www.facebook.com/photo.php?fbid=680619336765881&set=a.400326218128529&type=3,,,,,,,,1.7
Pernille Vermund,PernilleVermundNB,100044133429064,POLITICIAN,DK,Formand for Nye Borgerlige og medlem af Folketinget ,2019-11-13 14:36:58,103543,133247,2022-11-01 09:38:40 CET,2022-11-01,09:38:40,Photo,"5,605",4427,862,119,143,0,37,0,8,9,,-,0,0,0,N/A,https://www.facebook.com/100044133429064/posts/657401382407637,"SÆT KRYDS VED LISTE D - NYE BORGERLIGE 🇩🇰 I dag skal vælgerne tale. Det er demokratiets festdag. Jeg vil gerne indrømme, at jeg er lidt spændt. For det er nu, det gælder. Indimellem er det ganske få stemmer, der er afgørende for, om det er det ene eller andet parti, som får mandatet. Og for at rykke Danmark i en meget mere borgerlig retning kræver det, at vi har stemmer nok. At vi har mandater nok. Jeg håber, at du vil hjælpe med til at opfordre dem, du møder på din vej, til at stemme på Nye Borgerlige. Det er helt afgørende, at vi får løst udlændingepolitikken fra bunden. At vi får sikret, at politikerne bestemmer mindre, og at danskerne bestemmer meget mere selv – også over flere af deres egne penge. Og så skal Mette Frederiksen væk fra magten. I Nye Borgerlige har vi siden 2019, hvor vi kom i Folketinget, brugt tiden på at trække Danmark i en mere borgerlig retning og gøre danskerne rigere og friere. Det vil vi fortsætte med. Og vi kan, hvis vi vil - sammen 🇩🇰",https://www.facebook.com/photo.php?fbid=657400565741052&set=a.382515529896225&type=3,,"DET ER NU, DET GAELDER PERNILLE VERMUND FORMAND NyeBorgerlige VIKAN,HVISVIVIL-SAMMEN KAN, HVIS VI VIL SAMMEN",,,,,,1
Pia Olsen Dyhr,pia.olsen.dyhr,100044404390308,POLITICIAN,DK,Formand for SF,2008-11-19 09:16:45,85041,87024,2022-11-01 09:35:07 CET,2022-11-01,09:35:07,Status,"5,891",4383,548,187,663,6,55,2,27,20,,-,0,0,0,N/A,https://www.facebook.com/100044404390308/posts/669817377841736,Vi mangler ét mandat for at rød blok kan fortsætte. Din stemme er afgørende 🙏 Stem SF 💪❤️💚,,,,,,,,,2.81
Jakob Ellemann-Jensen,jakobellemann,100044564643750,POLITICIAN,DK,"Venstres formand
Medlem af Folketinget",2016-05-04 09:50:59,44659,52760,2022-11-01 09:33:46 CET,2022-11-01,09:33:46,Photo,"5,001",4063,355,38,404,0,11,2,3,125,,-,0,0,0,N/A,https://www.facebook.com/100044564643750/posts/661189578709858,"I dag er en særlig dag. Det er valgdag, og det er også min fars fødselsdag. Den første af begge, siden han døde i juni. Jeg savner ham hver eneste dag, men lige i dag er savnet ekstra stort. Han ville have hejst Dannebrog her til morgen. Som han altid gjorde, når der skulle stemmes. Jeg ville have ringet til ham og ønsket ham tillykke med fødselsdagen. Vi ville have talt sammen om debatten i aftes, om meningsmålingerne og om den valgkamp, Venstre har ført. Han ville klappe mig på skulderen, lægge hovedet på skrå, smile skævt og sige “Nu har du gjort dit. Nu må vi se, om folk har lyttet.” Det her valg bliver ekstremt tæt. Så alle stemmer kan potentielt være afgørende. Jeg håber, I vil stemme på Venstre. Jeg har givet alt det, jeg havde i mig, i valgkampen. Hundredevis af venstrefolk har kæmpet for vores parti. Og tusindvis af frivillige fra alle partier - røde såvel som blå - har knoklet løs i hele Danmark for vores demokrati. Tak til jer alle sammen! Nu er det op til danskerne. God valgdag til jer alle.",https://www.facebook.com/photo.php?fbid=661186005376882&set=a.344944807001005&type=3,,,,,,,,2.02
Mai Villadsen,Mai.Villadsen.Enhedslisten,100058145316378,POLITICIAN,DK,"Politisk ordfører for Enhedslisten.
Arbejder for bedre velfærd, mere klimahandling og mindre ulighed!",2019-01-24 15:51:16,21053,22591,2022-11-01 09:26:04 CET,2022-11-01,09:26:04,Photo,635,444,71,12,95,0,7,0,4,2,,-,0,0,0,N/A,https://www.facebook.com/100058145316378/posts/526940199254153,"Godmorgen 👋🏼 Så er det nu! 🌟 Valgstederne er netop åbne ❤️💚 Jeg har startet dagen med højt humør og skøn kampagne-stemning 🔥 Vi har brug for en stærk velfærd, ambitiøs klimahandling, hjælp til de fattigste og en udlændingepolitik med hjerterum ❤️💚 Husk at brug din stemme 🗳️ Jeg håber, med alt hvad jeg har, at du vil sætte den på Enhedslisten 😊 Vi har behov for at være stærke og store, så vi kan gøre en stor forskel! God valgdag til alle jer derude! ❤️",https://www.facebook.com/photo.php?fbid=526939415920898&set=a.261042152510627&type=3,,StI FOR RETFAERDIG EN GRON Ki OG W VERDEN ENHEDSLISTEN ENHEDSLISTEN e ENHEDSLISTEN DEM SVIN SKA OSTEN STEM GRONT GR 0 NT ENHEDSLISTEN FOR EN GRON OG RETFARDIO VERDEN ENHEDSLISTEN,,,,,,-1.49
Mette Frederiksen,mettefrederiksen.dk,100044576643050,POLITICIAN,DK,Statsminister og formand for Socialdemokratiet. Jeg fører ikke profilen som statsminister. ,2009-03-12 21:24:01,340299,384633,2022-11-01 09:10:34 CET,2022-11-01,09:10:34,Photo,"17,230",12915,1917,115,2046,5,44,1,52,135,,-,0,0,0,N/A,https://www.facebook.com/100044576643050/posts/677816387047577,Bo og jeg er på vej ned for at stemme. Rigtig god valgdag til jer alle ☺️,https://www.facebook.com/photo.php?fbid=677816367047579&set=a.396459791849906&type=3,,,,,,,,2.08
Sikandar Siddique,sikandar.siddique.politiker,100063606495233,POLITICIAN,DK," Former Member of Parliament (DK)
Political leader of Independent Greens
(Frie Grønne)",2021-01-08 10:52:15,17536,19376,2022-11-01 08:51:52 CET,2022-11-01,08:51:52,Native Video,370,239,82,14,2,0,25,0,5,3,owned,Yes,5448,5858,0,00:00:20,https://www.facebook.com/100063606495233/posts/544210041042541,Rigtig god valgdag til jer allesammen. Og husk - sæt KUN 1 kryds på stemmesedlen. Stem med hjertet. ✊🏽❤️,https://www.facebook.com/sikandar.siddique.politiker/videos/880497186727457/,,,,,,,,-2.08
"Marianne Karlsmose, KD-politiker",MarianneKarlsmose,100063856775068,POLITICIAN,DK,"Mor til 3
stud. socialrådgiver
Landsformand for KD, Regionsrådsmedlem
kd.dk/marianne-karlsmose",2019-02-02 13:54:33,1996,2206,2022-11-01 08:15:13 CET,2022-11-01,08:15:13,Photo,305,215,45,11,29,1,0,0,0,4,,-,0,0,0,N/A,https://www.facebook.com/100063856775068/posts/512014910937064,"Jeg landede hjemme i Tarm kl. 3 i nat men nu skal den lige have det sidste!! - Derfor er jeg nu klar til to interviews. 💪 Det bliver en utrolig spændende dag i dag, jeg kan i hvert fald mærke at jeg er spændt. Er du også det? 🤔 Din stemme tæller også, så husk at stem. God valgdag 💙",https://www.facebook.com/photo.php?fbid=512014840937071&set=a.221531073318784&type=3,,,,,,,,2.99
Franciska Rosenkilde,rosenkildefranciska,100063651522703,POLITICIAN,DK,Politisk leder af Alternativet,2015-02-07 20:00:39,4756,4920,2022-11-01 08:03:49 CET,2022-11-01,08:03:49,Photo,952,592,104,54,191,0,2,0,5,4,,-,0,0,0,N/A,https://www.facebook.com/100063651522703/posts/544154557716257,"Hver en stemme tæller 💚 Kære alle sammen, rigtig glædelig valgdag! En fantastisk dag - og en utroligt nervepirrende dag. I Alternativet går vi benhårdt efter at bidrage til, at vi får en grøn regering efter valget. Skal vi have et rød-grønt flertal, så SKAL Alternativet ind. Heldigvis ser målingerne gode ud - men det skal holde helt til mål. Den eneste “måling”, der gælder, er som bekendt valgresultatet. Vi MÅ og SKAL have et klimavalg, og det håber jeg, I vil overveje, når I står i stemmeboksen.",https://www.facebook.com/photo.php?fbid=544154291049617&set=a.239194704878912&type=3,,Vi mangler kun én stemme. Din. ALTERNATIVET,,,,,,4.09
Alex Vanopslagh,AlexLiberalAlliance,100044413450282,POLITICIAN,DK,Formand for Liberal Alliance ,2017-06-06 19:57:54,102494,118753,2022-11-01 07:52:39 CET,2022-11-01,07:52:39,Photo,"14,710",12567,943,151,815,6,138,8,58,24,,-,0,0,0,N/A,https://www.facebook.com/100044413450282/posts/692546965569079,"I dag er der folketingsvalg. Og jeg synes, du skal sætte dit kryds ved Liberal Alliance. Det siger jeg i dag med præcis samme overbevisning, som jeg gjorde for tre et halvt år siden. Men jeg vil ærligt indrømme, at jeg siger det med en anden selvsikkerhed i dag. Tillad mig at spole tiden hele vejen tilbage til valget i 2019, hvor partiet oplevede en meget stor tilbagegang og kom i en dyb krise. Jeg havde heldet med mig og blev valgt ind i Folketinget som kun én ud af fire for Liberal Alliance. Få dage senere var jeg også partileder. Noget af dét, man kan blive mest chokeret over, er at få præcis dét, man ønsker sig. For jeg havde da altid tænkt, at der var en liberal leder gemt i mig – en dag! Men pludselig var jeg det. Jeg var bare 27 år og havde intet begreb om at være leder. Det skulle vise sig at blive hårdere og sværere, end jeg forventede. Jeg var ved at knække nakken på det halvvejs, da jeg blev syg af stress og angst. Og jeg vidste, at opgaven med at genrejse partiet ikke forsvandt af, at jeg var mere eller mindre ude af kampen. Jeg havde dårlig samvittighed over for Ole Birk Olesen og Henrik Dahl og for partiet generelt. Jeg kunne ikke arbejde og genrejse partiet på den måde, jeg gerne ville. Og jeg havde jo selv grebet ud efter magten – så det var mit ansvar. I de mørkeste stunder frygtede jeg, at det var slut med Liberal Alliance. Sådan gik det heldigvis ikke. Takket være Ole og Henrik og de mange gode kræfter bag LA. Selvom vi ikke blev belønnet med det samme, så holdt vi fast i vores strategi om at være et borgerligt-liberalt parti, der turde sige og mene de rigtige ting, selvom det ikke altid var populært. Vi ville insistere på at være rigtigt borgerlige og rigtigt liberale. Vi ville ikke være en undskyldning for et parti, hverken for vores holdninger eller vores forhistorie. Vi ville stå fast på, at vores optimistiske menneskesyn var det rigtige. Og det insisterer vi stadig på. Langsomt kunne vi se en stigende opbakning, og den er heldigvis fortsat ind i valgkampen. Det handler ikke længere om overlevelse – det handler om meget mere nu. Men det er først i aften, at vi kender valgresultatet. Og vi har brug for din stemme, før vi endeligt kan sige, om Liberal Alliance er tilbage. Jeg håber, at du vil belønne os for at tale det enkelte menneske op – og tale vores fremtid op. For vi abonnerer ikke på dommedagsfortællingen om, at fremtiden er fuld af frygt, utryghed og usikkerhed. Vi har brug for håb, optimisme, vi har brug for reformer, og vi har brug for meget mere frihed og ansvar. Vi er kommet langt med Liberal Alliance de seneste tre år – den gode nyhed er dog, at rejsen først er begyndt. Rigtig god valgdag!",https://www.facebook.com/photo.php?fbid=692546938902415&set=a.389425372547908&type=3,,"‎one or more people, eyeglasses, selfie and closeup, ‎'‎س.ب ص.ب‎'‎‎",,,,,,2.92
Alex Vanopslagh,AlexLiberalAlliance,100044413450282,POLITICIAN,DK,Formand for Liberal Alliance ,2017-06-06 19:57:54,102494,118753,2022-11-01 07:31:04 CET,2022-11-01,07:31:04,Native Video,"3,855",3434,165,132,96,0,18,1,6,3,owned,Yes,72609,78594,0,00:00:27,https://www.facebook.com/100044413450282/posts/692538635569912,Så er det nu! Stem liberalt i dag.,https://www.facebook.com/AlexLiberalAlliance/videos/1158147545108392/,,,,,,,,-1.04
